user_id,movie_id,movie_title,genre_ids,rating
user_82,799583,The Ministry of Ungentlemanly Warfare,"[28, 35, 10752]",1.2
user_36,773867,Seoul Vibe,"[28, 80, 35]",3.0
user_95,799583,The Ministry of Ungentlemanly Warfare,"[28, 35, 10752]",7.1
user_70,1122504,Exorcism in Utero,[27],6.3
user_5,1397493,2024.mov,[99],1.8
user_30,511987,Crawl,"[27, 53]",6.4
user_72,1403294,Entre Aulas,"[12, 18, 35]",7.4
user_90,646389,Plane,"[28, 12, 53]",4.8
user_58,395817,The Thicket,"[80, 53, 37]",3.5
user_1,346910,The Predator,"[878, 28, 12]",7.3
user_44,474350,It Chapter Two,"[27, 18, 53]",2.4
user_98,823219,Flow,"[16, 14, 12]",1.9
user_49,799583,The Ministry of Ungentlemanly Warfare,"[28, 35, 10752]",4.2
user_45,818647,Through My Window,"[10749, 18, 35]",3.4
user_6,1400781,Panivizhum Iravu: The Onset,"[80, 53, 28]",5.8
user_49,1122504,Exorcism in Utero,[27],6.0
user_81,818647,Through My Window,"[10749, 18, 35]",9.0
user_47,395817,The Thicket,"[80, 53, 37]",2.7
user_9,373571,Godzilla: King of the Monsters,"[878, 28]",7.0
user_99,913290,Barbarian,"[27, 9648]",9.9
user_30,799583,The Ministry of Ungentlemanly Warfare,"[28, 35, 10752]",4.4
user_59,653349,Vacation Friends,[35],2.5
user_46,1403294,Entre Aulas,"[12, 18, 35]",7.0
user_90,1122504,Exorcism in Utero,[27],6.5
user_22,646389,Plane,"[28, 12, 53]",7.6
user_21,1400781,Panivizhum Iravu: The Onset,"[80, 53, 28]",4.4
user_82,646389,Plane,"[28, 12, 53]",3.0
user_42,373571,Godzilla: King of the Monsters,"[878, 28]",3.1
user_5,823219,Flow,"[16, 14, 12]",4.6
user_9,1403294,Entre Aulas,"[12, 18, 35]",9.2
user_73,823219,Flow,"[16, 14, 12]",2.9
user_64,1330681,Hunnington Hills,"[53, 27]",9.0
user_83,1400781,Panivizhum Iravu: The Onset,"[80, 53, 28]",2.3
user_18,773867,Seoul Vibe,"[28, 80, 35]",7.7
user_69,474350,It Chapter Two,"[27, 18, 53]",7.7
user_55,395817,The Thicket,"[80, 53, 37]",4.6
user_29,298618,The Flash,"[12, 28, 878]",5.6
user_12,373571,Godzilla: King of the Monsters,"[878, 28]",8.7
user_20,346910,The Predator,"[878, 28, 12]",8.1
user_55,818647,Through My Window,"[10749, 18, 35]",1.6
user_49,818647,Through My Window,"[10749, 18, 35]",10.0
user_68,474350,It Chapter Two,"[27, 18, 53]",9.7
user_2,799583,The Ministry of Ungentlemanly Warfare,"[28, 35, 10752]",7.1
user_69,474350,It Chapter Two,"[27, 18, 53]",7.9
user_44,799583,The Ministry of Ungentlemanly Warfare,"[28, 35, 10752]",3.6
user_21,1400781,Panivizhum Iravu: The Onset,"[80, 53, 28]",1.0
user_93,474350,It Chapter Two,"[27, 18, 53]",9.7
user_98,346910,The Predator,"[878, 28, 12]",5.6
user_14,913290,Barbarian,"[27, 9648]",8.6
user_65,818647,Through My Window,"[10749, 18, 35]",2.8
user_48,346910,The Predator,"[878, 28, 12]",5.9
user_100,511987,Crawl,"[27, 53]",9.3
user_77,823219,Flow,"[16, 14, 12]",5.4
user_15,653349,Vacation Friends,[35],8.9
user_40,773867,Seoul Vibe,"[28, 80, 35]",1.5
user_73,1122504,Exorcism in Utero,[27],1.8
user_63,1122504,Exorcism in Utero,[27],9.8
user_69,298618,The Flash,"[12, 28, 878]",2.2
user_61,646389,Plane,"[28, 12, 53]",2.5
user_68,818647,Through My Window,"[10749, 18, 35]",4.8
user_28,646389,Plane,"[28, 12, 53]",7.8
user_89,1403294,Entre Aulas,"[12, 18, 35]",7.4
user_52,653349,Vacation Friends,[35],4.9
user_67,1400781,Panivizhum Iravu: The Onset,"[80, 53, 28]",2.1
user_29,1122504,Exorcism in Utero,[27],4.0
user_76,646389,Plane,"[28, 12, 53]",3.1
user_29,1397493,2024.mov,[99],1.6
user_81,373571,Godzilla: King of the Monsters,"[878, 28]",3.1
user_5,823219,Flow,"[16, 14, 12]",1.6
user_31,474350,It Chapter Two,"[27, 18, 53]",7.0
user_28,646389,Plane,"[28, 12, 53]",2.2
user_74,395817,The Thicket,"[80, 53, 37]",5.3
user_61,572802,Aquaman and the Lost Kingdom,"[28, 12, 14]",2.7
user_13,572802,Aquaman and the Lost Kingdom,"[28, 12, 14]",4.2
user_53,1400781,Panivizhum Iravu: The Onset,"[80, 53, 28]",8.8
user_7,799583,The Ministry of Ungentlemanly Warfare,"[28, 35, 10752]",1.5
user_94,823219,Flow,"[16, 14, 12]",8.2
user_14,773867,Seoul Vibe,"[28, 80, 35]",2.7
user_69,1400781,Panivizhum Iravu: The Onset,"[80, 53, 28]",2.3
user_24,474350,It Chapter Two,"[27, 18, 53]",5.2
user_10,1400781,Panivizhum Iravu: The Onset,"[80, 53, 28]",8.3
user_71,799583,The Ministry of Ungentlemanly Warfare,"[28, 35, 10752]",1.5
user_70,1397493,2024.mov,[99],9.7
user_97,773867,Seoul Vibe,"[28, 80, 35]",2.5
user_63,399360,Alpha,"[12, 18]",2.9
user_52,373571,Godzilla: King of the Monsters,"[878, 28]",2.5
user_1,1330681,Hunnington Hills,"[53, 27]",3.4
user_59,913290,Barbarian,"[27, 9648]",4.8
user_94,646389,Plane,"[28, 12, 53]",7.0
user_63,298618,The Flash,"[12, 28, 878]",2.7
user_28,373571,Godzilla: King of the Monsters,"[878, 28]",6.2
user_70,373571,Godzilla: King of the Monsters,"[878, 28]",7.7
user_8,373571,Godzilla: King of the Monsters,"[878, 28]",6.3
user_65,511987,Crawl,"[27, 53]",2.4
user_66,1122504,Exorcism in Utero,[27],8.7
user_9,818647,Through My Window,"[10749, 18, 35]",1.6
user_31,1330681,Hunnington Hills,"[53, 27]",2.1
user_73,773867,Seoul Vibe,"[28, 80, 35]",6.2
user_6,818647,Through My Window,"[10749, 18, 35]",1.7
user_85,395817,The Thicket,"[80, 53, 37]",6.1
user_41,474350,It Chapter Two,"[27, 18, 53]",2.8
user_92,823219,Flow,"[16, 14, 12]",3.1
user_51,298618,The Flash,"[12, 28, 878]",7.0
user_39,1400781,Panivizhum Iravu: The Onset,"[80, 53, 28]",3.8
user_97,1122504,Exorcism in Utero,[27],1.1
user_80,395817,The Thicket,"[80, 53, 37]",10.0
user_10,646389,Plane,"[28, 12, 53]",2.9
user_34,298618,The Flash,"[12, 28, 878]",9.4
user_9,773867,Seoul Vibe,"[28, 80, 35]",4.3
user_21,1400781,Panivizhum Iravu: The Onset,"[80, 53, 28]",8.5
user_91,913290,Barbarian,"[27, 9648]",6.5
user_84,511987,Crawl,"[27, 53]",1.1
user_71,913290,Barbarian,"[27, 9648]",9.4
user_14,298618,The Flash,"[12, 28, 878]",3.4
user_14,646389,Plane,"[28, 12, 53]",2.4
user_37,818647,Through My Window,"[10749, 18, 35]",2.9
user_44,1403294,Entre Aulas,"[12, 18, 35]",7.2
user_34,511987,Crawl,"[27, 53]",5.4
user_7,1122504,Exorcism in Utero,[27],6.7
user_36,373571,Godzilla: King of the Monsters,"[878, 28]",1.0
user_99,298618,The Flash,"[12, 28, 878]",6.7
user_34,346910,The Predator,"[878, 28, 12]",7.7
user_71,572802,Aquaman and the Lost Kingdom,"[28, 12, 14]",6.0
user_15,1122504,Exorcism in Utero,[27],9.5
user_89,298618,The Flash,"[12, 28, 878]",5.9
user_48,395817,The Thicket,"[80, 53, 37]",6.0
user_56,298618,The Flash,"[12, 28, 878]",1.4
user_47,373571,Godzilla: King of the Monsters,"[878, 28]",9.1
user_27,773867,Seoul Vibe,"[28, 80, 35]",7.0
user_46,646389,Plane,"[28, 12, 53]",9.0
user_53,818647,Through My Window,"[10749, 18, 35]",7.7
user_31,346910,The Predator,"[878, 28, 12]",9.8
user_23,572802,Aquaman and the Lost Kingdom,"[28, 12, 14]",1.2
user_95,823219,Flow,"[16, 14, 12]",8.0
user_53,773867,Seoul Vibe,"[28, 80, 35]",3.4
user_90,799583,The Ministry of Ungentlemanly Warfare,"[28, 35, 10752]",4.4
user_5,399360,Alpha,"[12, 18]",3.0
user_59,653349,Vacation Friends,[35],3.7
user_30,773867,Seoul Vibe,"[28, 80, 35]",1.2
user_25,1330681,Hunnington Hills,"[53, 27]",4.0
user_9,474350,It Chapter Two,"[27, 18, 53]",4.2
user_66,1330681,Hunnington Hills,"[53, 27]",7.1
user_69,823219,Flow,"[16, 14, 12]",9.5
user_15,474350,It Chapter Two,"[27, 18, 53]",2.6
user_34,373571,Godzilla: King of the Monsters,"[878, 28]",2.0
user_56,653349,Vacation Friends,[35],7.6
user_41,572802,Aquaman and the Lost Kingdom,"[28, 12, 14]",6.5
user_66,799583,The Ministry of Ungentlemanly Warfare,"[28, 35, 10752]",4.5
user_74,1403294,Entre Aulas,"[12, 18, 35]",3.3
user_91,572802,Aquaman and the Lost Kingdom,"[28, 12, 14]",1.0
user_69,1403294,Entre Aulas,"[12, 18, 35]",4.3
user_9,823219,Flow,"[16, 14, 12]",6.6
user_85,799583,The Ministry of Ungentlemanly Warfare,"[28, 35, 10752]",7.5
user_39,511987,Crawl,"[27, 53]",3.8
user_53,823219,Flow,"[16, 14, 12]",4.6
user_38,646389,Plane,"[28, 12, 53]",2.1
user_54,1330681,Hunnington Hills,"[53, 27]",7.1
user_23,818647,Through My Window,"[10749, 18, 35]",6.1
user_52,646389,Plane,"[28, 12, 53]",8.5
user_39,913290,Barbarian,"[27, 9648]",2.9
user_75,818647,Through My Window,"[10749, 18, 35]",6.9
user_60,1400781,Panivizhum Iravu: The Onset,"[80, 53, 28]",5.0
user_28,511987,Crawl,"[27, 53]",5.3
user_95,346910,The Predator,"[878, 28, 12]",6.9
user_37,511987,Crawl,"[27, 53]",7.0
user_80,823219,Flow,"[16, 14, 12]",1.8
user_97,773867,Seoul Vibe,"[28, 80, 35]",7.1
user_29,1403294,Entre Aulas,"[12, 18, 35]",2.3
user_6,773867,Seoul Vibe,"[28, 80, 35]",9.9
user_79,1122504,Exorcism in Utero,[27],5.1
user_81,395817,The Thicket,"[80, 53, 37]",2.7
user_90,1330681,Hunnington Hills,"[53, 27]",5.4
user_32,298618,The Flash,"[12, 28, 878]",6.9
user_1,799583,The Ministry of Ungentlemanly Warfare,"[28, 35, 10752]",8.0
user_29,346910,The Predator,"[878, 28, 12]",8.2
user_90,511987,Crawl,"[27, 53]",5.2
user_72,773867,Seoul Vibe,"[28, 80, 35]",9.3
user_16,1400781,Panivizhum Iravu: The Onset,"[80, 53, 28]",2.2
user_60,511987,Crawl,"[27, 53]",9.9
user_77,823219,Flow,"[16, 14, 12]",9.6
user_57,818647,Through My Window,"[10749, 18, 35]",8.3
user_65,572802,Aquaman and the Lost Kingdom,"[28, 12, 14]",8.5
user_71,1400781,Panivizhum Iravu: The Onset,"[80, 53, 28]",9.1
user_96,399360,Alpha,"[12, 18]",5.1
user_97,773867,Seoul Vibe,"[28, 80, 35]",8.6
user_36,511987,Crawl,"[27, 53]",5.4
user_31,474350,It Chapter Two,"[27, 18, 53]",5.0
user_92,913290,Barbarian,"[27, 9648]",3.1
user_43,823219,Flow,"[16, 14, 12]",9.0
user_11,298618,The Flash,"[12, 28, 878]",2.4
user_50,298618,The Flash,"[12, 28, 878]",7.4
user_9,572802,Aquaman and the Lost Kingdom,"[28, 12, 14]",4.7
user_70,1400781,Panivizhum Iravu: The Onset,"[80, 53, 28]",4.7
user_27,572802,Aquaman and the Lost Kingdom,"[28, 12, 14]",4.5
user_99,395817,The Thicket,"[80, 53, 37]",9.5
user_3,395817,The Thicket,"[80, 53, 37]",4.4
user_1,653349,Vacation Friends,[35],3.7
user_50,572802,Aquaman and the Lost Kingdom,"[28, 12, 14]",5.8
user_95,646389,Plane,"[28, 12, 53]",8.2
user_29,399360,Alpha,"[12, 18]",3.0
user_56,399360,Alpha,"[12, 18]",1.3
user_44,1330681,Hunnington Hills,"[53, 27]",7.5
user_60,298618,The Flash,"[12, 28, 878]",9.8
user_69,1397493,2024.mov,[99],9.2
user_76,395817,The Thicket,"[80, 53, 37]",7.0
user_11,572802,Aquaman and the Lost Kingdom,"[28, 12, 14]",2.2
user_60,346910,The Predator,"[878, 28, 12]",1.5
user_49,823219,Flow,"[16, 14, 12]",2.9
user_42,823219,Flow,"[16, 14, 12]",7.9
user_49,474350,It Chapter Two,"[27, 18, 53]",7.8
user_54,474350,It Chapter Two,"[27, 18, 53]",8.5
user_61,1397493,2024.mov,[99],7.7
user_7,653349,Vacation Friends,[35],3.0
user_9,373571,Godzilla: King of the Monsters,"[878, 28]",7.8
user_32,1403294,Entre Aulas,"[12, 18, 35]",8.6
user_80,298618,The Flash,"[12, 28, 878]",3.1
user_61,799583,The Ministry of Ungentlemanly Warfare,"[28, 35, 10752]",6.1
user_28,1400781,Panivizhum Iravu: The Onset,"[80, 53, 28]",7.3
user_99,653349,Vacation Friends,[35],2.5
user_78,799583,The Ministry of Ungentlemanly Warfare,"[28, 35, 10752]",8.0
user_21,913290,Barbarian,"[27, 9648]",2.0
user_4,913290,Barbarian,"[27, 9648]",6.2
user_49,1330681,Hunnington Hills,"[53, 27]",9.5
user_26,1122504,Exorcism in Utero,[27],6.3
user_81,773867,Seoul Vibe,"[28, 80, 35]",1.9
user_99,913290,Barbarian,"[27, 9648]",8.7
user_77,799583,The Ministry of Ungentlemanly Warfare,"[28, 35, 10752]",8.2
user_73,373571,Godzilla: King of the Monsters,"[878, 28]",4.1
user_55,653349,Vacation Friends,[35],1.6
user_83,823219,Flow,"[16, 14, 12]",1.1
user_54,399360,Alpha,"[12, 18]",1.9
user_47,1400781,Panivizhum Iravu: The Onset,"[80, 53, 28]",7.4
user_56,346910,The Predator,"[878, 28, 12]",7.6
user_84,474350,It Chapter Two,"[27, 18, 53]",6.5
user_69,399360,Alpha,"[12, 18]",5.2
user_94,395817,The Thicket,"[80, 53, 37]",3.4
user_32,1122504,Exorcism in Utero,[27],3.5
user_58,773867,Seoul Vibe,"[28, 80, 35]",7.8
user_73,818647,Through My Window,"[10749, 18, 35]",7.0
user_44,1397493,2024.mov,[99],5.4
user_42,346910,The Predator,"[878, 28, 12]",5.4
user_46,474350,It Chapter Two,"[27, 18, 53]",4.1
user_77,474350,It Chapter Two,"[27, 18, 53]",6.0
user_67,1403294,Entre Aulas,"[12, 18, 35]",1.8
user_93,572802,Aquaman and the Lost Kingdom,"[28, 12, 14]",5.4
user_98,773867,Seoul Vibe,"[28, 80, 35]",7.2
user_83,399360,Alpha,"[12, 18]",5.0
user_3,1122504,Exorcism in Utero,[27],3.6
user_52,773867,Seoul Vibe,"[28, 80, 35]",3.8
user_75,653349,Vacation Friends,[35],5.3
user_68,653349,Vacation Friends,[35],4.8
user_96,646389,Plane,"[28, 12, 53]",4.0
user_90,1400781,Panivizhum Iravu: The Onset,"[80, 53, 28]",3.4
user_33,773867,Seoul Vibe,"[28, 80, 35]",2.1
user_25,823219,Flow,"[16, 14, 12]",2.1
user_69,346910,The Predator,"[878, 28, 12]",2.7
user_95,399360,Alpha,"[12, 18]",3.5
user_76,511987,Crawl,"[27, 53]",6.4
user_13,1403294,Entre Aulas,"[12, 18, 35]",3.7
user_47,346910,The Predator,"[878, 28, 12]",3.7
user_91,646389,Plane,"[28, 12, 53]",2.1
user_6,373571,Godzilla: King of the Monsters,"[878, 28]",6.0
user_90,298618,The Flash,"[12, 28, 878]",6.7
user_97,399360,Alpha,"[12, 18]",1.9
user_2,395817,The Thicket,"[80, 53, 37]",3.6
user_62,1400781,Panivizhum Iravu: The Onset,"[80, 53, 28]",4.1
user_7,474350,It Chapter Two,"[27, 18, 53]",9.5
user_62,799583,The Ministry of Ungentlemanly Warfare,"[28, 35, 10752]",8.4
user_52,399360,Alpha,"[12, 18]",1.7
user_81,373571,Godzilla: King of the Monsters,"[878, 28]",2.4
user_73,913290,Barbarian,"[27, 9648]",1.8
user_32,799583,The Ministry of Ungentlemanly Warfare,"[28, 35, 10752]",6.0
user_54,818647,Through My Window,"[10749, 18, 35]",6.4
user_80,773867,Seoul Vibe,"[28, 80, 35]",8.0
user_49,1400781,Panivizhum Iravu: The Onset,"[80, 53, 28]",9.2
user_39,395817,The Thicket,"[80, 53, 37]",9.9
user_40,395817,The Thicket,"[80, 53, 37]",6.6
user_79,799583,The Ministry of Ungentlemanly Warfare,"[28, 35, 10752]",9.5
user_27,1403294,Entre Aulas,"[12, 18, 35]",3.4
user_11,346910,The Predator,"[878, 28, 12]",3.2
user_71,1122504,Exorcism in Utero,[27],2.4
user_53,1400781,Panivizhum Iravu: The Onset,"[80, 53, 28]",7.2
user_61,913290,Barbarian,"[27, 9648]",1.3
user_37,913290,Barbarian,"[27, 9648]",7.3
user_59,1122504,Exorcism in Utero,[27],7.2
user_34,395817,The Thicket,"[80, 53, 37]",7.0
user_26,572802,Aquaman and the Lost Kingdom,"[28, 12, 14]",2.0
user_29,298618,The Flash,"[12, 28, 878]",9.2
user_19,1122504,Exorcism in Utero,[27],1.5
user_40,818647,Through My Window,"[10749, 18, 35]",7.7
user_73,913290,Barbarian,"[27, 9648]",5.0
user_60,913290,Barbarian,"[27, 9648]",7.3
user_35,511987,Crawl,"[27, 53]",5.9
user_57,1122504,Exorcism in Utero,[27],6.4
user_56,823219,Flow,"[16, 14, 12]",6.4
user_4,1122504,Exorcism in Utero,[27],3.1
user_87,395817,The Thicket,"[80, 53, 37]",6.3
user_3,474350,It Chapter Two,"[27, 18, 53]",6.2
user_98,346910,The Predator,"[878, 28, 12]",5.2
user_84,1400781,Panivizhum Iravu: The Onset,"[80, 53, 28]",9.2
user_24,395817,The Thicket,"[80, 53, 37]",4.9
user_63,1122504,Exorcism in Utero,[27],5.2
user_53,823219,Flow,"[16, 14, 12]",3.9
user_14,346910,The Predator,"[878, 28, 12]",4.0
user_89,399360,Alpha,"[12, 18]",3.6
user_52,646389,Plane,"[28, 12, 53]",1.3
user_12,823219,Flow,"[16, 14, 12]",3.3
user_15,1330681,Hunnington Hills,"[53, 27]",8.8
user_1,646389,Plane,"[28, 12, 53]",5.2
user_7,1403294,Entre Aulas,"[12, 18, 35]",5.7
user_80,399360,Alpha,"[12, 18]",6.6
user_98,373571,Godzilla: King of the Monsters,"[878, 28]",2.8
user_71,298618,The Flash,"[12, 28, 878]",9.3
user_57,399360,Alpha,"[12, 18]",2.1
user_81,818647,Through My Window,"[10749, 18, 35]",8.2
user_91,346910,The Predator,"[878, 28, 12]",3.8
user_2,646389,Plane,"[28, 12, 53]",4.7
user_29,799583,The Ministry of Ungentlemanly Warfare,"[28, 35, 10752]",5.2
user_16,298618,The Flash,"[12, 28, 878]",5.5
user_92,913290,Barbarian,"[27, 9648]",5.6
user_35,572802,Aquaman and the Lost Kingdom,"[28, 12, 14]",8.5
user_61,773867,Seoul Vibe,"[28, 80, 35]",5.1
user_19,1330681,Hunnington Hills,"[53, 27]",2.7
user_77,511987,Crawl,"[27, 53]",7.7
user_18,1122504,Exorcism in Utero,[27],3.5
user_54,823219,Flow,"[16, 14, 12]",9.4
user_65,474350,It Chapter Two,"[27, 18, 53]",8.4
user_37,913290,Barbarian,"[27, 9648]",8.5
user_75,399360,Alpha,"[12, 18]",8.8
user_58,646389,Plane,"[28, 12, 53]",5.4
user_43,646389,Plane,"[28, 12, 53]",7.9
user_49,1400781,Panivizhum Iravu: The Onset,"[80, 53, 28]",9.4
